,departure,departure_time,arrival,arrival_time
0,二子玉川,2026-05-04 04:58:00,大岡山,2026-05-04 05:09:00
1,二子玉川,2026-05-04 05:11:00,大岡山,2026-05-04 05:24:00
2,二子玉川,2026-05-04 05:23:00,大岡山,2026-05-04 05:36:00
3,二子玉川,2026-05-04 05:29:00,大岡山,2026-05-04 05:41:00
4,二子玉川,2026-05-04 05:35:00,大岡山,2026-05-04 05:48:00
5,二子玉川,2026-05-04 05:43:00,大岡山,2026-05-04 05:55:00
6,二子玉川,2026-05-04 05:48:00,大岡山,2026-05-04 06:00:00
7,二子玉川,2026-05-04 05:54:00,大岡山,2026-05-04 06:07:00
8,二子玉川,2026-05-04 06:00:00,大岡山,2026-05-04 06:12:00
9,二子玉川,2026-05-04 06:03:00,大岡山,2026-05-04 06:18:00
10,二子玉川,2026-05-04 06:05:00,大岡山,2026-05-04 06:14:00
11,二子玉川,2026-05-04 06:11:00,大岡山,2026-05-04 06:23:00
12,二子玉川,2026-05-04 06:14:00,大岡山,2026-05-04 06:27:00
13,二子玉川,2026-05-04 06:18:00,大岡山,2026-05-04 06:34:00
14,二子玉川,2026-05-04 06:20:00,大岡山,2026-05-04 06:29:00
15,二子玉川,2026-05-04 06:24:00,大岡山,2026-05-04 06:38:00
16,二子玉川,2026-05-04 06:27:00,大岡山,2026-05-04 06:44:00
17,二子玉川,2026-05-04 06:30:00,大岡山,2026-05-04 06:40:00
18,二子玉川,2026-05-04 06:34:00,大岡山,2026-05-04 06:47:00
19,二子玉川,2026-05-04 06:38:00,大岡山,2026-05-04 06:51:00
20,二子玉川,2026-05-04 06:41:00,大岡山,2026-05-04 06:57:00
21,二子玉川,2026-05-04 06:43:00,大岡山,2026-05-04 06:53:00
22,二子玉川,2026-05-04 06:48:00,大岡山,2026-05-04 07:00:00
23,二子玉川,2026-05-04 06:52:00,大岡山,2026-05-04 07:05:00
24,二子玉川,2026-05-04 06:55:00,大岡山,2026-05-04 07:10:00
25,二子玉川,2026-05-04 06:57:00,大岡山,2026-05-04 07:06:00
26,二子玉川,2026-05-04 07:01:00,大岡山,2026-05-04 07:14:00
27,二子玉川,2026-05-04 07:04:00,大岡山,2026-05-04 07:17:00
28,二子玉川,2026-05-04 07:08:00,大岡山,2026-05-04 07:23:00
29,二子玉川,2026-05-04 07:10:00,大岡山,2026-05-04 07:19:00
30,二子玉川,2026-05-04 07:13:00,大岡山,2026-05-04 07:26:00
31,二子玉川,2026-05-04 07:16:00,大岡山,2026-05-04 07:32:00
32,二子玉川,2026-05-04 07:18:00,大岡山,2026-05-04 07:28:00
33,二子玉川,2026-05-04 07:22:00,大岡山,2026-05-04 07:35:00
34,二子玉川,2026-05-04 07:25:00,大岡山,2026-05-04 07:41:00
35,二子玉川,2026-05-04 07:27:00,大岡山,2026-05-04 07:37:00
36,二子玉川,2026-05-04 07:31:00,大岡山,2026-05-04 07:44:00
37,二子玉川,2026-05-04 07:34:00,大岡山,2026-05-04 07:50:00
38,二子玉川,2026-05-04 07:36:00,大岡山,2026-05-04 07:46:00
39,二子玉川,2026-05-04 07:39:00,大岡山,2026-05-04 07:52:00
40,二子玉川,2026-05-04 07:43:00,大岡山,2026-05-04 07:58:00
41,二子玉川,2026-05-04 07:45:00,大岡山,2026-05-04 07:55:00
42,二子玉川,2026-05-04 07:48:00,大岡山,2026-05-04 08:01:00
43,二子玉川,2026-05-04 07:51:00,大岡山,2026-05-04 08:07:00
44,二子玉川,2026-05-04 07:54:00,大岡山,2026-05-04 08:03:00
45,二子玉川,2026-05-04 07:57:00,大岡山,2026-05-04 08:10:00
46,二子玉川,2026-05-04 08:00:00,大岡山,2026-05-04 08:16:00
47,二子玉川,2026-05-04 08:03:00,大岡山,2026-05-04 08:12:00
48,二子玉川,2026-05-04 08:06:00,大岡山,2026-05-04 08:19:00
49,二子玉川,2026-05-04 08:09:00,大岡山,2026-05-04 08:25:00
50,二子玉川,2026-05-04 08:11:00,大岡山,2026-05-04 08:21:00
51,二子玉川,2026-05-04 08:15:00,大岡山,2026-05-04 08:28:00
52,二子玉川,2026-05-04 08:18:00,大岡山,2026-05-04 08:34:00
53,二子玉川,2026-05-04 08:20:00,大岡山,2026-05-04 08:30:00
54,二子玉川,2026-05-04 08:24:00,大岡山,2026-05-04 08:37:00
55,二子玉川,2026-05-04 08:27:00,大岡山,2026-05-04 08:43:00
56,二子玉川,2026-05-04 08:29:00,大岡山,2026-05-04 08:39:00
57,二子玉川,2026-05-04 08:33:00,大岡山,2026-05-04 08:46:00
58,二子玉川,2026-05-04 08:36:00,大岡山,2026-05-04 08:49:00
59,二子玉川,2026-05-04 08:39:00,大岡山,2026-05-04 08:56:00
60,二子玉川,2026-05-04 08:42:00,大岡山,2026-05-04 08:52:00
61,二子玉川,2026-05-04 08:46:00,大岡山,2026-05-04 08:59:00
62,二子玉川,2026-05-04 08:50:00,大岡山,2026-05-04 09:03:00
63,二子玉川,2026-05-04 08:52:00,大岡山,2026-05-04 09:08:00
64,二子玉川,2026-05-04 08:55:00,大岡山,2026-05-04 09:05:00
65,二子玉川,2026-05-04 08:59:00,大岡山,2026-05-04 09:12:00
66,二子玉川,2026-05-04 09:02:00,大岡山,2026-05-04 09:15:00
67,二子玉川,2026-05-04 09:05:00,大岡山,2026-05-04 09:21:00
68,二子玉川,2026-05-04 09:07:00,大岡山,2026-05-04 09:17:00
69,二子玉川,2026-05-04 09:11:00,大岡山,2026-05-04 09:24:00
